#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
IrC,21.432,1.443,0.001,2.2,4,9.1,4701,2739,1.35,0.765,2.55,4,11.26,4300,3800,0.7,0.3
IrN,21.378,1.299,0.001,2.2,4,9.1,4701,2739,1.35,0.765,3.04,5,14.534,77.36,63.05,0.65,0.63
PdC,21.882,1.487,0.001,2.2,4,8.34,3236,1828.05,1.4,0.84625,2.55,4,11.26,4300,3800,0.7,0.3
PdN,21.913,0.945,0.001,2.2,4,8.34,3236,1828.05,1.4,0.84625,3.04,5,14.534,77.36,63.05,0.65,0.63
RhC,20.745,1.093,0.001,2.28,3,7.46,3968,2237,1.35,0.745,2.55,4,11.26,4300,3800,0.7,0.3
RhN,20.634,0.765,0.001,2.28,3,7.46,3968,2237,1.35,0.745,3.04,5,14.534,77.36,63.05,0.65,0.63
PtN,22.673,1.192,0.001,2.28,4,9,4098,2041.4,1.35,0.805,3.04,5,14.534,77.36,63.05,0.65,0.63
PtO,24.745,0.197,0.001,2.28,4,9,4098,2041.4,1.35,0.805,3.44,6,13.618,90.2,54.8,0.6,1.26
PbS,54.087,-0.875,0.461,2.33,4,7.416,2022,600.61,1.8,1.1225,2.58,6,10.36,717.87,388.36,1,0.88
PbSe,60.359,-0.57,0.431,2.33,4,7.416,2022,600.61,1.8,1.1225,2.55,6,9.752,958,494,1.15,1.013333333
WC,21.16,0.329,0.001,2.36,6,7.98,5828,3695,1.35,0.766666667,2.55,4,11.26,4300,3800,0.7,0.3
WN,20.814,0.148,0.001,2.36,6,7.98,5828,3695,1.35,0.766666667,3.04,5,14.534,77.36,63.05,0.65,0.63
AuN,25.445,1.499,0.001,2.54,1,9.225,3129,1337.33,1.35,1.07,3.04,5,14.534,77.36,63.05,0.65,0.63
